"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss"
"18","ABAT","ABAT..18.",0.0476050457206451,0.707752802679932,0.061056275553402,-0.259197899269052,0.00912644574140038,0.966950701948984,"sp.P80404.GABT_HUMAN",0.44935361520985,0.241799249486083,0.103577209229143,-0.262867362217034,0.131388183972636,0.504666611703116
"19","ABCA1","ABCA1..19.",0.00620468201394278,0.692408573446389,0.0128252983006582,-0.369409353076453,8.08717554034155e-05,1.06181792652284,"sp.O95477.ABCA1_HUMAN",0.551624926206123,0.138261588681879,0.156104960546401,-0.207824151851621,0.161069088147935,0.3460857405335
"20","ABCA10","ABCA10..10349.",0.472231369353255,0.0675318395113393,0.473004730693204,-0.0635553061007035,0.259674085324387,0.131087145612043,"sp.Q8WWZ4.ABCAA_HUMAN",0.414025917969515,-0.106450121212546,0.607330175152798,0.0739543827619408,0.283405609762404,-0.180404503974487
"21","ABCA12","ABCA12..26154.",0.744050517757637,-0.0560307893880758,0.360062375446353,0.140191549978839,0.357228755026777,-0.196222339366914,"sp.Q86UK0.ABCAC_HUMAN",0.920455543673583,-0.0303455719098076,0.257669133351548,0.378786028009218,0.334728689449938,-0.409131599919026
"22","ABCA13","ABCA13..154664.",0.00791527549479542,0.282293027879967,0.198408549124318,-0.113245722848028,0.000849643794136653,0.395538750727995,"sp.Q86UQ4.ABCAD_HUMAN",0.226922061766633,-0.244480499982312,0.37923740356664,0.198079272418539,0.066256611840826,-0.442559772400851
"23","ABCA2","ABCA2..20.",0.713783624285726,-0.0649099541948379,0.000914010336693531,-0.458174283738029,0.0412549865072058,0.393264329543191,"sp.Q9BZC7.3.ABCA2_HUMAN",0.467348231872198,-0.0975415056101057,0.220977364639902,-0.134112338195237,0.799888683611212,0.0365708325851315
"24","ABCA3","ABCA3..21.",0.260387749274206,0.376526406502141,0.00367546866982341,-0.518669871134455,0.0110300081385682,0.895196277636596,"sp.Q99758.ABCA3_HUMAN",0.865216773623195,0.0380153440043171,0.0259717493108652,-0.270247595136999,0.17488509200514,0.308262939141316
"25","ABCB1","ABCB1..5243.",0.723926438223048,0.0714841003657758,0.570583051899523,-0.139715258714288,0.427509206905544,0.211199359080064,"sp.P08183.MDR1_HUMAN",0.510501787388097,-0.133279373165984,0.75480094690835,-0.0953655454847999,0.903840399630438,-0.0379138276811841
"26","ABCB10","ABCB10..23456.",1.23748277280854e-05,0.378208752811958,0.000182358707484938,-0.40398127105035,1.69869596991798e-09,0.782190023862308,"sp.Q9NRK6.ABCBA_HUMAN",0.000175830803338422,0.305284842020148,0.22325160199211,-0.108119256374438,0.000116730485076225,0.413404098394586
"27","ABCB4","ABCB4..5244.",0.0146238130854109,0.285551846253597,0.0694399216999412,-0.188598138320265,0.000276281640945212,0.474149984573862,"sp.P21439.MDR3_HUMAN",0.127934931859455,-0.404173331825225,0.15941282886246,-0.253945339589402,0.554312787167764,-0.150227992235823
"28","ABCB5","ABCB5..340273.",0.780952913279499,0.0360308421302389,0.644919844986784,0.0991457240697104,0.772588161505573,-0.0631148819394715,"sp.Q2M3G0.4.ABCB5_HUMAN",0.750271248718306,0.068681673207818,0.510322038358226,-0.194355548638914,0.436377238047366,0.263037221846732
"29","ABCB6","ABCB6..10058.",0.2421776012421,0.27610270157277,0.753164921704272,0.0567243022091706,0.418149871121514,0.219378399363599,"sp.Q9NP58.ABCB6_HUMAN",0.273450173097969,0.215583783747114,0.765350916098796,-0.0379106755065204,0.237011023813167,0.253494459253635
"30","ABCB8","ABCB8..11194.",1.76412488114334e-10,0.470006420675809,0.00270495477444795,-0.271850367569797,4.93380416637157e-12,0.741856788245607,"sp.Q9NUT2.ABCB8_HUMAN",1.376386546273e-05,0.34755983040505,0.297705243729621,-0.100320082706926,3.94600831858721e-05,0.447879913111976
"31","ABCC1","ABCC1..4363.",0.087707721262766,0.312541880810538,0.0019773101096995,-0.319755700583021,0.00183277946130659,0.632297581393559,"sp.P33527.MRP1_HUMAN",0.201835071233083,0.195052680338292,0.0283381638724785,-0.200555172933012,0.0161002433948315,0.395607853271304
"32","ABCC10","ABCC10..89845.",0.000620588011241974,0.338601879529875,0.00276459352695555,-0.25054776026785,1.12499963689763e-06,0.589149639797725,"sp.Q5T3U5.MRP7_HUMAN",0.0779329369509604,0.228421315604834,0.966203385233558,-0.00477328534231754,0.130190930428109,0.233194600947152
"33","ABCC3","ABCC3..8714.",0.0555787407096187,0.723782797429102,0.131171701414656,0.55092380778313,0.713870614253223,0.172858989645972,"sp.O15438.4.MRP3_HUMAN",0.269044081888058,0.230906157214617,0.518012630123418,0.116203996416484,0.647285164960914,0.114702160798133
"34","ABCC4","ABCC4..10257.",0.60219157614353,-0.116951772974892,0.00871289103176703,-0.358021485394097,0.293816985434236,0.241069712419204,"sp.O15439.MRP4_HUMAN",0.839579856890146,0.0336017630749108,0.0141963233591716,-0.238464744083382,0.111993472941298,0.272066507158292
"35","ABCC5","ABCC5..10057.",0.000257167425751246,0.403077475573469,0.00621125712402762,-0.430055062901066,4.33443075178486e-06,0.833132538474535,"sp.O15440.MRP5_HUMAN",8.19529900424748e-06,0.586076679242557,0.568890352343058,0.0958150984966469,0.0140397141869415,0.49026158074591
"36","ABCC8","ABCC8..6833.",0.970332702941849,0.00387029170046638,0.593835771752888,0.0423347373211903,0.740168241805559,-0.0384644456207239,"sp.Q09428.2.ABCC8_HUMAN",0.526867614603397,0.175391867552001,0.405139651926823,0.209806630872741,0.913714122193086,-0.0344147633207404
"37","ABCD3","ABCD3..5825.",0.000775474316491944,0.368213165708613,0.0597942961967976,-0.176665194340652,3.79696773866793e-05,0.544878360049265,"sp.P28288.ABCD3_HUMAN",0.616765200593553,0.0692651129642361,0.067165338971468,-0.180187999111235,0.115527369383625,0.249453112075472
"38","ABCD4","ABCD4..5826.",0.0544652600169217,0.187130580163023,2.07207538270237e-09,-0.418873550798503,1.11287539730565e-07,0.606004130961526,"sp.O14678.ABCD4_HUMAN",0.107422398469806,0.202841736190403,0.558294142884734,-0.0561080310007437,0.0536875652893837,0.258949767191147
"39","ABCE1","ABCE1..6059.",0.214223610389747,0.249973336576532,2.12822771904705e-07,-0.313037141370986,0.0121073121212062,0.563010477947518,"sp.P61221.ABCE1_HUMAN",0.294377074813786,0.209998930766673,6.54313338896338e-05,-0.26406167718025,0.0288084213258424,0.474060607946922
"40","ABCF1","ABCF1..23.",0.000364591470617391,0.336524621531884,0.000536430523037009,-0.312110779762222,8.57485558220301e-08,0.648635401294106,"tr.Q5STZ8.Q5STZ8_HUMAN",0.26711988206247,0.302636303923447,0.346565133943019,0.260786427684024,0.897441790412588,0.0418498762394233
"41","ABCF1","ABCF1..23.",0.000364591470617391,0.336524621531884,0.000536430523037009,-0.312110779762222,8.57485558220301e-08,0.648635401294106,"sp.Q8NE71.ABCF1_HUMAN",0.000652461694590755,0.291165573173665,0.0560219519782958,-0.140993329543903,2.45643453541426e-05,0.432158902717568
"42","ABCF2","ABCF2..10061.",1.54632831916318e-08,0.401506742920398,0.00173195801979125,-0.314276016124114,3.29619278244573e-10,0.715782759044512,"sp.Q9UG63.ABCF2_HUMAN",9.90085345512629e-06,0.301870446835121,0.00758139338223299,-0.214734980097628,3.38795612748326e-08,0.516605426932749
"43","ABCF3","ABCF3..55324.",4.60435444598264e-07,0.284442070215915,5.50654041839144e-05,-0.377468365837398,1.00667944373139e-09,0.661910436053313,"sp.Q9NUQ8.ABCF3_HUMAN",0.608783292464535,0.0378854479133393,0.0680495171905272,-0.192480712820267,0.0482046613653154,0.230366160733606
"44","ABHD10","ABHD10..55347.",0.110587827539986,0.143926259357725,0.0192613596846902,-0.247120520405143,0.0018401519854469,0.391046779762868,"sp.Q9NUJ1.ABHDA_HUMAN",2.12138030030937e-05,0.346658436809539,0.253707417935657,-0.115664171661052,9.64572217128538e-05,0.462322608470591
"45","ABHD11","ABHD11..83451.",0.0559337586035286,0.214763944400485,0.0350059038737731,-0.313016806803055,0.000562893863907113,0.52778075120354,"sp.Q8NFV4.ABHDB_HUMAN",0.136222164740994,0.152688958614553,0.130533741014305,-0.206159475791433,0.0127648845963333,0.358848434405986
"46","ABHD12","ABHD12..26090.",8.73188230226622e-11,0.614332587297551,0.000320435294658056,-0.371233072491735,8.12143331267972e-16,0.985565659789286,"sp.Q8N2K0.ABD12_HUMAN",2.05369860970324e-06,0.391352655323439,0.00128541250732813,-0.262179527349413,1.77706470723552e-11,0.653532182672851
"47","ABHD13","ABHD13..84945.",1.63490436937451e-05,0.485615993951152,5.15246868451558e-11,-0.371999067299479,5.94778046368391e-11,0.857615061250631,"sp.Q7L211.ABHDD_HUMAN",0.0843034780564795,0.290882192079521,0.0118335998027894,-0.265100092072149,0.00185609597840722,0.555982284151669
"48","ABHD14B","ABHD14B..84836.",0.175412761717501,-0.362507756293083,1.31142895721619e-13,-0.67990590930984,0.23414617928632,0.317398153016756,"sp.Q96IU4.ABHEB_HUMAN",0.580217929182523,-0.210791204933101,7.2615114738481e-10,-0.655670451097177,0.25256898920453,0.444879246164075
"49","ABHD16A","ABHD16A..7920.",0.000846428237176983,0.332656672958035,2.39359091079512e-05,-0.358720544792435,3.42897866800382e-08,0.69137721775047,"sp.O95870.ABHGA_HUMAN",0.032587320116941,0.230891334465062,0.254137434861544,-0.0990027324509148,0.00957094051893843,0.329894066915976
"50","ABHD17A","ABHD17A..81926.",0.0706095325391058,0.268882876191235,1.31138337356963e-07,-0.304224495640016,0.000563652722534599,0.57310737183125,"sp.Q96GS6.2.AB17A_HUMAN",0.564059928586449,0.128197383863125,0.666685691419732,-0.0340810752862979,0.472064263851754,0.162278459149423
"51","ABHD17B","ABHD17B..51104.",0.511554212407804,0.0583858586930663,1.0901877863139e-09,-0.50352693514033,3.07612084066476e-07,0.561912793833396,"sp.Q5VST6.2.AB17B_HUMAN",0.653365192485557,0.0451422057534822,0.000562737666226652,-0.299531994356161,0.00313505896026779,0.344674200109643
"52","ABHD17C","ABHD17C..58489.",0.000344806088426409,0.894421960501611,0.285642485640277,0.142339854825704,0.00228517328573755,0.752082105675906,"sp.Q6PCB6.AB17C_HUMAN",0.116398087699325,0.860016050859704,0.916995813231682,-0.0199249822382229,0.113592419398276,0.879941033097927
"53","ABHD4","ABHD4..63874.",0.0030416438528806,0.594600618227548,0.228794281928437,-0.156984173200614,0.000554641762410889,0.751584791428162,"sp.Q8TB40.ABHD4_HUMAN",0.0224518090799464,0.327974633852893,0.768574153814174,-0.0292928207135684,0.0210493305299626,0.357267454566461
"54","ABHD5","ABHD5..51099.",0.101174431868853,0.3780217849092,0.00122802657824978,-0.260926351932219,0.00944207408229921,0.638948136841419,"sp.Q8WTS1.ABHD5_HUMAN",0.0469355906690306,-0.461325602940985,0.430951475855145,-0.0710108127477476,0.0909139963207779,-0.390314790193237
"55","ABHD6","ABHD6..57406.",0.227987897692382,0.286027792421028,1.99190543898872e-07,-0.507110562327341,0.0029871597502998,0.793138354748369,"sp.Q9BV23.ABHD6_HUMAN",0.742712005617699,0.0875576219022795,0.00249624175870951,-0.302556043338921,0.16015253604458,0.3901136652412
"56","ABI1","ABI1..10006.",0.00214791486766314,0.344534033372353,2.57117722953261e-09,-0.356834756245208,6.62017764591707e-08,0.701368789617561,"sp.Q8IZP0.9.ABI1_HUMAN",0.542637576894712,-0.0489626790812686,0.000111322309538415,-0.226635986694239,0.0411073782749312,0.17767330761297
"57","ABI2","ABI2..10152.",5.34117204274419e-05,0.522928876032513,0.717736886361109,-0.0359443625537574,9.90260518004688e-05,0.558873238586271,"sp.Q9NYB9.2.ABI2_HUMAN",0.00164201094239067,0.429978798483611,0.404436686929759,-0.077098315855085,0.000714959071189625,0.507077114338696
"58","ABI3","ABI3..51225.",0.801157619819346,-0.0294542785991843,0.382225342214943,0.157762200313009,0.352546334353947,-0.187216478912194,"sp.Q9P2A4.ABI3_HUMAN",0.943308503456273,0.0724022916197613,0.293009805167027,0.656866033856885,0.608517070712596,-0.584463742237124
"59","ABI3BP","ABI3BP..25890.",0.992593052547616,-0.00174760752829561,0.79705637308277,0.0667024652223347,0.812910388612351,-0.0684500727506303,"tr.D3YTG3.D3YTG3_HUMAN",0.915253733905318,-0.11815665917265,0.405881620417908,0.271542364620171,0.731970971769274,-0.389699023792821
"60","ABL1","ABL1..25.",0.049337133669627,0.254702364050448,3.72906107528583e-07,-0.434703737432305,2.85596935676784e-06,0.689406101482754,"sp.P00519.2.ABL1_HUMAN",0.142663542722798,0.130692616979175,0.10243034119439,-0.127281714509204,0.0102987440314079,0.257974331488378
"61","ABL2","ABL2..27.",0.870924841181626,-0.0227856666859716,0.334177091228232,0.18601729868238,0.330081177021072,-0.208802965368351,"sp.P42684.ABL2_HUMAN",0.103258796623758,0.143403215425881,0.00107953204139834,-0.370618926528787,0.00012356361188884,0.514022141954668
"62","ABLIM1","ABLIM1..3983.",0.194414194103321,0.57687513083223,0.00380584917038287,-0.609665733031988,0.0133562751679579,1.18654086386422,"tr.Q5T6N4.Q5T6N4_HUMAN",0.285883164644431,0.327541416098232,0.00626354099389939,-0.380218752956773,0.0304305094581645,0.707760169055005
"63","ABLIM2","ABLIM2..84448.",0.121790271728154,-0.37693057361768,0.817601972880811,0.0236349920382428,0.10074021740605,-0.400565565655923,"sp.Q6H8Q1.9.ABLM2_HUMAN",0.175555688137428,-0.456822575640774,0.127821751074912,0.256922447600409,0.040478104839786,-0.713745023241183
"64","ABLIM3","ABLIM3..22885.",0.046404987222677,0.772698244208263,0.462896643259341,0.166341115820122,0.140402292885836,0.606357128388141,"sp.O94929.3.ABLM3_HUMAN",0.0186720370813498,0.705974087749418,0.731228208665891,0.0669479860682677,0.0504164109469599,0.63902610168115
