"","Gene_ID","Gene_Name","AmplificationRatio"
"13073","ATP13A1..57130.","ATP13A1",0.0027027027027027
"13074","ZNF101..94039.","ZNF101",0.0027027027027027
"13075","ZNF14..7561.","ZNF14",0.0027027027027027
"13076","LINC00663..284440.","LINC00663",0.0027027027027027
"13077","ZNF56..7608.","ZNF56",0.0027027027027027
"13078","ZNF506..440515.","ZNF506",0.0027027027027027
"13079","ZNF253..56242.","ZNF253",0.0027027027027027
"13080","ZNF93..81931.","ZNF93",0.0027027027027027
"13081","ZNF682..91120.","ZNF682",0.0027027027027027
"13082","ZNF90..7643.","ZNF90",0.0027027027027027
"13083","ZNF486..90649.","ZNF486",0.00540540540540541
"13084","ZNF826P..664701.","ZNF826P",0.0216216216216216
"13085","MIR1270..100302179.","MIR1270",0.00540540540540541
"13086","ZNF737..100129842.","ZNF737",0.0027027027027027
"13087","ZNF626..199777.","ZNF626",0.0027027027027027
"13088","ZNF66..7617.","ZNF66",0.0027027027027027
"13089","ZNF85..7639.","ZNF85",0.0027027027027027
"13090","ZNF430..80264.","ZNF430",0.0027027027027027
"13091","ZNF714..148206.","ZNF714",0.0027027027027027
"13092","ZNF431..170959.","ZNF431",0.0027027027027027
"13093","ZNF708..7562.","ZNF708",0.0027027027027027
"13094","ZNF738..148203.","ZNF738",0.0027027027027027
"13095","ZNF493..284443.","ZNF493",0.0027027027027027
"13096","LINC00664..400680.","LINC00664",0.0027027027027027
"13097","ZNF429..353088.","ZNF429",0.0027027027027027
"13098","LOC400682..400682.","LOC400682",0.0027027027027027
"13099","ZNF100..163227.","ZNF100",0.0027027027027027
"13100","LOC641367..641367.","LOC641367",0.0027027027027027
"13101","ZNF43..7594.","ZNF43",0.0027027027027027
"13102","ZNF208..7757.","ZNF208",0
"13103","ZNF257..113835.","ZNF257",0.00540540540540541
"13104","ZNF676..163223.","ZNF676",0.00540540540540541
"13105","ZNF729..100287226.","ZNF729",0.00540540540540541
"13106","ZNF98..148198.","ZNF98",0.00540540540540541
"13107","LOC101929124..101929124.","LOC101929124",0.00540540540540541
"13108","LINC01233..100128139.","LINC01233",0.00540540540540541
"13109","GOLGA2P9..440518.","GOLGA2P9",0.00540540540540541
"13110","LOC100996349..100996349.","LOC100996349",0.00540540540540541
"13111","LINC01785..374890.","LINC01785",0.00540540540540541
"13112","ZNF492..57615.","ZNF492",0.00540540540540541
"13113","ZNF99..7652.","ZNF99",0.0027027027027027
"13114","ZNF723..646864.","ZNF723",0.0027027027027027
"13115","ZNF728..388523.","ZNF728",0.0027027027027027
"13116","LINC01859..101929164.","LINC01859",0.0027027027027027
"13117","LINC01858..101929144.","LINC01858",0.0027027027027027
"13118","ZNF730..100129543.","ZNF730",0.00540540540540541
"13119","ZNF724..440519.","ZNF724",0.00540540540540541
"13120","IPO5P1..100132815.","IPO5P1",0.00540540540540541
"13121","ZNF91..7644.","ZNF91",0.00540540540540541
"13122","LINC01224..104472717.","LINC01224",0.00540540540540541
"13123","ZNF675..171392.","ZNF675",0.0027027027027027
"13124","ZNF681..148213.","ZNF681",0.0027027027027027
"13125","RPSAP58..388524.","RPSAP58",0.0027027027027027
"13126","ZNF726..730087.","ZNF726",0.0027027027027027
"13127","LOC100505851..100505851.","LOC100505851",0.0027027027027027
"13128","ZNF254..9534.","ZNF254",0.0027027027027027
"13129","HAVCR1P1..100101266.","HAVCR1P1",0.00540540540540541
"13130","LINC00662..148189.","LINC00662",0.0108108108108108
"13131","LOC101927151..101927151.","LOC101927151",0.0108108108108108
"13132","LOC100420587..100420587.","LOC100420587",0.0108108108108108
"13133","LOC102724908..102724908.","LOC102724908",0.0108108108108108
"13134","LINC00906..148145.","LINC00906",0.0135135135135135
"13135","LOC102724958..102724958.","LOC102724958",0.0135135135135135
"13136","LINC01532..100505835.","LINC01532",0.0135135135135135
"13137","UQCRFS1..7386.","UQCRFS1",0.0135135135135135
"13138","LOC284395..284395.","LOC284395",0.0189189189189189
"13139","VSTM2B..342865.","VSTM2B",0.0189189189189189
"13140","POP4..10775.","POP4",0.0189189189189189
"13141","PLEKHF1..79156.","PLEKHF1",0.0189189189189189
"13142","C19orf12..83636.","C19orf12",0.0189189189189189
"13143","CCNE1..898.","CCNE1",0.0216216216216216
