"","X1","Protein_Id","Gene_Symbol","Uniprot_Acc"
"1",1,"sp.P55011.S12A2_HUMAN","SLC12A2","P55011"
"2",2,"sp.P35453.HXD13_HUMAN","HOXD13","P35453"
"3",3,"sp.O60341.KDM1A_HUMAN","KDM1A","O60341"
"4",4,"sp.O00570.SOX1_HUMAN","SOX1","O00570"
"5",5,"sp.P48431.SOX2_HUMAN","SOX2","P48431"
"6",6,"sp.P41225.SOX3_HUMAN","SOX3","P41225"
"7",7,"sp.O60248.SOX15_HUMAN","SOX15","O60248"
"8",8,"sp.Q99453.PHX2B_HUMAN","PHOX2B","Q99453"
"9",9,"sp.Q9H161.ALX4_HUMAN","ALX4","Q9H161"
"10",10,"sp.Q15699.ALX1_HUMAN","ALX1","Q15699"
"11",11,"sp.P54821.2.PRRX1_HUMAN","PRRX1","P54821-2"
"12",12,"sp.Q96QS3.ARX_HUMAN","ARX","Q96QS3"
"13",13,"sp.O60902.SHOX2_HUMAN","SHOX2","O60902"
"14",14,"sp.Q99811.PRRX2_HUMAN","PRRX2","Q99811"
"15",15,"sp.P37108.SRP14_HUMAN","SRP14","P37108"
"16",16,"sp.Q8N697.S15A4_HUMAN","SLC15A4","Q8N697"
"17",17,"sp.Q5TF21.SOGA3_HUMAN","SOGA3","Q5TF21"
"18",18,"sp.O94964.2.SOGA1_HUMAN","SOGA1","O94964-2"
"19",19,"sp.Q8WUM0.NU133_HUMAN","NUP133","Q8WUM0"
"20",20,"sp.Q9Y4B5.SOGA2_HUMAN","SOGA2","Q9Y4B5"
"21",21,"sp.Q9Y4H2.IRS2_HUMAN","IRS2","Q9Y4H2"
"22",22,"sp.P36578.RL4_HUMAN","RPL4","P36578"
"23",23,"sp.Q92945.FUBP2_HUMAN","KHSRP","Q92945"
"24",24,"sp.Q96I24.FUBP3_HUMAN","FUBP3","Q96I24"
"25",25,"sp.Q96AE4.2.FUBP1_HUMAN","FUBP1","Q96AE4-2"
"26",26,"sp.Q96AE4.FUBP1_HUMAN","FUBP1","Q96AE4"
"27",27,"sp.Q9Y5R2.MMP24_HUMAN","MMP24","Q9Y5R2"
"28",28,"sp.P50281.MMP14_HUMAN","MMP14","P50281"
"29",29,"sp.P51511.MMP15_HUMAN","MMP15","P51511"
"30",30,"sp.Q8TEJ3.SH3R3_HUMAN","SH3RF3","Q8TEJ3"
"31",31,"sp.Q7Z6J0.SH3R1_HUMAN","SH3RF1","Q7Z6J0"
"32",32,"sp.Q8TEC5.SH3R2_HUMAN","SH3RF2","Q8TEC5"
"33",33,"sp.Q8NCE2.MTMRE_HUMAN","MTMR14","Q8NCE2"
"34",34,"sp.Q6SPF0.SAMD1_HUMAN","SAMD1","Q6SPF0"
"35",35,"sp.O60779.S19A2_HUMAN","SLC19A2","O60779"
"36",36,"sp.O76031.CLPX_HUMAN","CLPX","O76031"
"37",37,"sp.O15265.2.ATX7_HUMAN","ATXN7","O15265-2"
"38",38,"sp.Q8WUQ7.2.CATIN_HUMAN","CACTIN","Q8WUQ7-2"
"39",39,"sp.P19338.NUCL_HUMAN","NCL","P19338"
"40",40,"tr.H7BY16.H7BY16_HUMAN","NCL","H7BY16"
"41",41,"sp.A6NIH7.U119B_HUMAN","UNC119B","A6NIH7"
"42",42,"sp.Q13432.U119A_HUMAN","UNC119","Q13432"
"43",43,"sp.Q9BTD8.RBM42_HUMAN","RBM42","Q9BTD8"
"44",44,"sp.Q9P258.RCC2_HUMAN","RCC2","Q9P258"
"45",45,"sp.Q9P2E5.CHPF2_HUMAN","CHPF2","Q9P2E5"
"46",46,"sp.P17542.TAL1_HUMAN","TAL1","P17542"
"47",47,"sp.P12980.LYL1_HUMAN","LYL1","P12980"
"48",48,"sp.O60518.RNBP6_HUMAN","RANBP6","O60518"
"49",49,"sp.O00410.3.IPO5_HUMAN","IPO5","O00410-3"
"50",50,"sp.Q99523.SORT_HUMAN","SORT1","Q99523"
"51",51,"sp.Q9Y2U8.MAN1_HUMAN","LEMD3","Q9Y2U8"
"52",52,"sp.Q96JZ2.2.HSH2D_HUMAN","HSH2D","Q96JZ2-2"
"53",53,"tr.K7ERI2.K7ERI2_HUMAN","HSH2D","K7ERI2"
"54",54,"sp.Q86SX6.GLRX5_HUMAN","GLRX5","Q86SX6"
"55",55,"sp.Q96CC6.RHDF1_HUMAN","RHBDF1","Q96CC6"
"56",56,"sp.Q13671.RIN1_HUMAN","RIN1","Q13671"
"57",57,"sp.P30044.PRDX5_HUMAN","PRDX5","P30044"
"58",58,"sp.Q15596.NCOA2_HUMAN","NCOA2","Q15596"
"59",59,"sp.Q15788.NCOA1_HUMAN","NCOA1","Q15788"
"60",60,"sp.Q9Y6Q9.NCOA3_HUMAN","NCOA3","Q9Y6Q9"
"61",61,"sp.Q53GG5.2.PDLI3_HUMAN","PDLIM3","Q53GG5-2"
"62",62,"sp.Q96L91.EP400_HUMAN","EP400","Q96L91"
"63",63,"sp.Q6ZTU2.6.E400N_HUMAN","EP400NL","Q6ZTU2-6"
"64",64,"sp.P52701.MSH6_HUMAN","MSH6","P52701"
"65",65,"sp.P20585.MSH3_HUMAN","MSH3","P20585"
"66",66,"sp.Q9H694.BICC1_HUMAN","BICC1","Q9H694"
"67",67,"sp.Q9NRR5.UBQL4_HUMAN","UBQLN4","Q9NRR5"
"68",68,"sp.Q9UMX0.UBQL1_HUMAN","UBQLN1","Q9UMX0"
"69",69,"sp.Q9UMX0.2.UBQL1_HUMAN","UBQLN1","Q9UMX0-2"
"70",70,"sp.Q9H347.UBQL3_HUMAN","UBQLN3","Q9H347"
"71",71,"sp.Q9UHD9.UBQL2_HUMAN","UBQLN2","Q9UHD9"
"72",72,"sp.A1X283.SPD2B_HUMAN","SH3PXD2B","A1X283"
"73",73,"sp.Q5TCZ1.SPD2A_HUMAN","SH3PXD2A","Q5TCZ1"
"74",74,"sp.Q9BQE4.SELS_HUMAN","VIMP","Q9BQE4"
"75",75,"sp.Q8WWH5.TRUB1_HUMAN","TRUB1","Q8WWH5"
"76",76,"sp.Q96MA1.DMRTB_HUMAN","DMRTB1","Q96MA1"
"77",77,"sp.O95625.ZBT11_HUMAN","ZBTB11","O95625"
"78",78,"sp.Q8TDZ2.4.MICA1_HUMAN","MICAL1","Q8TDZ2-4"
"79",79,"sp.Q7RTP6.MICA3_HUMAN","MICAL3","Q7RTP6"
"80",80,"sp.O94851.MICA2_HUMAN","MICAL2","O94851"
"81",81,"sp.O94851.4.MICA2_HUMAN","MICAL2","O94851-4"
"82",82,"sp.Q96D53.ADCK4_HUMAN","ADCK4","Q96D53"
"83",83,"sp.Q96GQ5.CP058_HUMAN","C16orf58","Q96GQ5"
"84",84,"sp.Q8N8D1.PDCD7_HUMAN","PDCD7","Q8N8D1"
"85",85,"sp.Q9BQ89.F110A_HUMAN","FAM110A","Q9BQ89"
"86",86,"sp.Q5VYS8.TUT7_HUMAN","ZCCHC6","Q5VYS8"
"87",87,"sp.Q5TAX3.TUT4_HUMAN","ZCCHC11","Q5TAX3"
"88",88,"tr.G3V2N0.G3V2N0_HUMAN","GNG2","G3V2N0"
"89",89,"sp.O95159.ZFPL1_HUMAN","ZFPL1","O95159"
"90",90,"sp.Q15329.E2F5_HUMAN","E2F5","Q15329"
"91",91,"sp.Q16254.E2F4_HUMAN","E2F4","Q16254"
"92",92,"sp.Q14159.SPIDR_HUMAN","SPIDR","Q14159"
"93",93,"sp.Q6P2E9.EDC4_HUMAN","EDC4","Q6P2E9"
"94",94,"sp.Q9UNF1.MAGD2_HUMAN","MAGED2","Q9UNF1"
"95",95,"sp.Q9Y5V3.2.MAGD1_HUMAN","MAGED1","Q9Y5V3-2"
"96",96,"sp.Q96JG8.4.MAGD4_HUMAN","MAGED4","Q96JG8-4"
"97",97,"sp.Q12816.TROP_HUMAN","TRO","Q12816"
"98",98,"sp.Q9NZQ3.2.SPN90_HUMAN","NCKIPSD","Q9NZQ3-2"
"99",99,"sp.Q9NZQ3.SPN90_HUMAN","NCKIPSD","Q9NZQ3"
"100",100,"sp.Q9NQP4.PFD4_HUMAN","PFDN4","Q9NQP4"
"101",101,"sp.O95551.2.TYDP2_HUMAN","TDP2","O95551-2"
"102",102,"sp.O15357.SHIP2_HUMAN","INPPL1","O15357"
"103",103,"sp.Q6UW63.KDEL1_HUMAN","KDELC1","Q6UW63"
"104",104,"sp.Q92835.SHIP1_HUMAN","INPP5D","Q92835"
"105",105,"sp.P06276.CHLE_HUMAN","BCHE","P06276"
"106",106,"sp.Q8N3L3.TXLNB_HUMAN","TXLNB","Q8N3L3"
"107",107,"sp.Q9NUQ3.TXLNG_HUMAN","TXLNG","Q9NUQ3"
"108",108,"sp.P40222.TXLNA_HUMAN","TXLNA","P40222"
"109",109,"sp.P49750.4.YLPM1_HUMAN","YLPM1","P49750-4"
"110",110,"sp.Q92802.N42L2_HUMAN","N4BP2L2","Q92802"
"111",111,"sp.P09543.CN37_HUMAN","CNP","P09543"
"112",112,"sp.Q86UW6.N4BP2_HUMAN","N4BP2","Q86UW6"
"113",113,"sp.Q5TBK1.N42L1_HUMAN","N4BP2L1","Q5TBK1"
"114",114,"tr.U3KQT9.U3KQT9_HUMAN","YLPM1","U3KQT9"
"115",115,"sp.Q9H9Y2.RPF1_HUMAN","RPF1","Q9H9Y2"
"116",116,"sp.Q96P70.IPO9_HUMAN","IPO9","Q96P70"
"117",117,"sp.P30260.2.CDC27_HUMAN","CDC27","P30260-2"
"118",118,"sp.Q5T5Y3.3.CAMP1_HUMAN","CAMSAP1","Q5T5Y3-3"
"119",119,"sp.Q9P1Y5.CAMP3_HUMAN","CAMSAP3","Q9P1Y5"
"120",120,"sp.Q08AD1.CAMP2_HUMAN","CAMSAP2","Q08AD1"
"121",121,"sp.O15042.SR140_HUMAN","U2SURP","O15042"
"122",122,"sp.Q13242.SRSF9_HUMAN","SRSF9","Q13242"
"123",123,"sp.Q07955.SRSF1_HUMAN","SRSF1","Q07955"
"124",124,"sp.Q9NP50.FA60A_HUMAN","FAM60A","Q9NP50"
"125",125,"sp.Q01780.EXOSX_HUMAN","EXOSC10","Q01780"
"126",126,"sp.Q8N9M5.TM102_HUMAN","TMEM102","Q8N9M5"
"127",127,"sp.O94766.B3GA3_HUMAN","B3GAT3","O94766"
"128",128,"sp.Q8IY31.2.IFT20_HUMAN","IFT20","Q8IY31-2"
"129",129,"sp.Q86TW2.ADCK1_HUMAN","ADCK1","Q86TW2"
"130",130,"sp.Q02880.TOP2B_HUMAN","TOP2B","Q02880"
"131",131,"sp.P11388.4.TOP2A_HUMAN","TOP2A","P11388-4"
"132",132,"sp.P35813.PPM1A_HUMAN","PPM1A","P35813"
"133",133,"sp.O75688.PPM1B_HUMAN","PPM1B","O75688"
"134",134,"sp.Q9NX55.HYPK_HUMAN","HYPK","Q9NX55"
"135",135,"sp.O94842.TOX4_HUMAN","TOX4","O94842"
"136",136,"sp.O94900.TOX_HUMAN","TOX","O94900"
"137",137,"sp.Q96NM4.4.TOX2_HUMAN","TOX2","Q96NM4-4"
"138",138,"sp.Q92608.DOCK2_HUMAN","DOCK2","Q92608"
"139",139,"sp.Q9H7D0.DOCK5_HUMAN","DOCK5","Q9H7D0"
"140",140,"sp.Q14185.DOCK1_HUMAN","DOCK1","Q14185"
"141",141,"sp.P02786.TFR1_HUMAN","TFRC","P02786"
"142",142,"sp.Q9UP52.TFR2_HUMAN","TFR2","Q9UP52"
"143",143,"sp.P07954.FUMH_HUMAN","FH","P07954"
"144",144,"sp.Q7RTV3.ZN367_HUMAN","ZNF367","Q7RTV3"
"145",145,"sp.Q9Y490.TLN1_HUMAN","TLN1","Q9Y490"
"146",146,"sp.Q9Y4G6.TLN2_HUMAN","TLN2","Q9Y4G6"
"147",147,"sp.P18621.3.RL17_HUMAN","RPL17","P18621-3"
"148",148,"sp.O94826.TOM70_HUMAN","TOMM70A","O94826"
"149",149,"sp.P13497.BMP1_HUMAN","BMP1","P13497"
"150",150,"sp.Q9Y6L7.TLL2_HUMAN","TLL2","Q9Y6L7"
"151",151,"sp.O43897.TLL1_HUMAN","TLL1","O43897"
"152",152,"sp.O95359.3.TACC2_HUMAN","TACC2","O95359-3"
"153",153,"sp.O75410.TACC1_HUMAN","TACC1","O75410"
"154",154,"sp.Q9P0V3.SH3B4_HUMAN","SH3BP4","Q9P0V3"
"155",155,"sp.Q9Y6X3.SCC4_HUMAN","MAU2","Q9Y6X3"
"156",156,"sp.Q17RC7.EX3L4_HUMAN","EXOC3L4","Q17RC7"
"157",157,"sp.Q16270.IBP7_HUMAN","IGFBP7","Q16270"
"158",158,"sp.Q96P11.2.NSUN5_HUMAN","NSUN5","Q96P11-2"
"159",159,"tr.F5H1R7.F5H1R7_HUMAN","FLJ22184","F5H1R7"
"160",160,"sp.Q5IJ48.CRUM2_HUMAN","CRB2","Q5IJ48"
"161",161,"sp.Q8N4T8.CBR4_HUMAN","CBR4","Q8N4T8"
"162",162,"sp.P23381.SYWC_HUMAN","WARS","P23381"
"163",163,"sp.P35221.CTNA1_HUMAN","CTNNA1","P35221"
"164",164,"sp.P26232.5.CTNA2_HUMAN","CTNNA2","P26232-5"
"165",165,"sp.Q96C19.EFHD2_HUMAN","EFHD2","Q96C19"
"166",166,"sp.Q9BUP0.EFHD1_HUMAN","EFHD1","Q9BUP0"
"167",167,"sp.Q9GZT9.EGLN1_HUMAN","EGLN1","Q9GZT9"
"168",168,"sp.Q9Y3B7.RM11_HUMAN","MRPL11","Q9Y3B7"
"169",169,"sp.Q5VSL9.STRP1_HUMAN","STRIP1","Q5VSL9"
"170",170,"sp.Q9ULQ0.STRP2_HUMAN","STRIP2","Q9ULQ0"
"171",171,"sp.Q9H147.TDIF1_HUMAN","DNTTIP1","Q9H147"
"172",172,"sp.Q8N729.NPW_HUMAN","NPW","Q8N729"
"173",173,"sp.P17544.6.ATF7_HUMAN","ATF7","P17544-6"
"174",174,"sp.Q02930.CREB5_HUMAN","CREB5","Q02930"
"175",175,"sp.P15336.ATF2_HUMAN","ATF2","P15336"
"176",176,"sp.Q8N3D4.EH1L1_HUMAN","EHBP1L1","Q8N3D4"
"177",177,"sp.Q8NDI1.EHBP1_HUMAN","EHBP1","Q8NDI1"
"178",178,"sp.Q9UIF9.BAZ2A_HUMAN","BAZ2A","Q9UIF9"
"179",179,"sp.O14497.ARI1A_HUMAN","ARID1A","O14497"
"180",180,"sp.Q8NFD5.3.ARI1B_HUMAN","ARID1B","Q8NFD5-3"
"181",181,"sp.Q8TAP8.PPR35_HUMAN","PPP1R35","Q8TAP8"
"182",182,"sp.Q9BQS8.FYCO1_HUMAN","FYCO1","Q9BQS8"
"183",183,"sp.Q9NUP1.BL1S4_HUMAN","BLOC1S4","Q9NUP1"
"184",184,"sp.P13807.GYS1_HUMAN","GYS1","P13807"
"185",185,"sp.P51970.NDUA8_HUMAN","NDUFA8","P51970"
"186",186,"sp.Q9GZU3.TM39B_HUMAN","TMEM39B","Q9GZU3"
"187",187,"sp.Q9BR61.ACBD6_HUMAN","ACBD6","Q9BR61"
"188",188,"sp.Q96NB2.SFXN2_HUMAN","SFXN2","Q96NB2"
"189",189,"sp.O15287.FANCG_HUMAN","FANCG","O15287"
"190",190,"sp.P29728.OAS2_HUMAN","OAS2","P29728"
"191",191,"sp.Q9Y618.3.NCOR2_HUMAN","NCOR2","Q9Y618-3"
"192",192,"sp.Q9Y618.5.NCOR2_HUMAN","NCOR2","Q9Y618-5"
"193",193,"tr.H0Y459.H0Y459_HUMAN","NCOR1","H0Y459"
"194",194,"sp.O75376.NCOR1_HUMAN","NCOR1","O75376"
"195",195,"sp.O75326.SEM7A_HUMAN","SEMA7A","O75326"
"196",196,"sp.Q9NVU7.SDA1_HUMAN","SDAD1","Q9NVU7"
"197",197,"sp.Q15063.POSTN_HUMAN","POSTN","Q15063"
"198",198,"sp.Q9UGJ0.AAKG2_HUMAN","PRKAG2","Q9UGJ0"
"199",199,"sp.P54619.AAKG1_HUMAN","PRKAG1","P54619"
"200",200,"sp.Q8TAE8.G45IP_HUMAN","GADD45GIP1","Q8TAE8"
"201",201,"sp.Q7L2E3.2.DHX30_HUMAN","DHX30","Q7L2E3-2"
"202",202,"sp.O15269.SPTC1_HUMAN","SPTLC1","O15269"
"203",203,"sp.Q14008.CKAP5_HUMAN","CKAP5","Q14008"
"204",204,"sp.Q7Z392.TPC11_HUMAN","TRAPPC11","Q7Z392"
"205",205,"sp.Q9NRF2.SH2B1_HUMAN","SH2B1","Q9NRF2"
"206",206,"sp.O14492.SH2B2_HUMAN","SH2B2","O14492"
"207",207,"sp.Q6JQN1.5.ACD10_HUMAN","ACAD10","Q6JQN1-5"
"208",208,"sp.P05091.ALDH2_HUMAN","ALDH2","P05091"
"209",209,"sp.P30837.AL1B1_HUMAN","ALDH1B1","P30837"
"210",210,"sp.O94788.AL1A2_HUMAN","ALDH1A2","O94788"
"211",211,"sp.P00352.AL1A1_HUMAN","ALDH1A1","P00352"
"212",212,"sp.P53814.5.SMTN_HUMAN","SMTN","P53814-5"
"213",213,"sp.P47895.AL1A3_HUMAN","ALDH1A3","P47895"
"214",214,"sp.Q8N0Z6.TTC5_HUMAN","TTC5","Q8N0Z6"
"215",215,"sp.Q9H0G5.NSRP1_HUMAN","NSRP1","Q9H0G5"
"216",216,"sp.P31948.STIP1_HUMAN","STIP1","P31948"
"217",217,"sp.P50502.F10A1_HUMAN","ST13","P50502"
"218",218,"sp.Q92574.TSC1_HUMAN","TSC1","Q92574"
"219",219,"sp.P22105.TENX_HUMAN","TNXB","P22105"
"220",220,"sp.Q13423.NNTM_HUMAN","NNT","Q13423"
"221",221,"sp.Q6ZTW0.TPGS1_HUMAN","TPGS1","Q6ZTW0"
"222",222,"sp.P35251.RFC1_HUMAN","RFC1","P35251"
"223",223,"sp.Q92575.UBXN4_HUMAN","UBXN4","Q92575"
"224",224,"sp.Q12955.ANK3_HUMAN","ANK3","Q12955"
"225",225,"sp.Q12955.4.ANK3_HUMAN","ANK3","Q12955-4"
"226",226,"sp.P16157.14.ANK1_HUMAN","ANK1","P16157-14"
"227",227,"tr.I6L894.I6L894_HUMAN","ANK2","I6L894"
"228",228,"tr.H0Y931.H0Y931_HUMAN","ANK2","H0Y931"
"229",229,"sp.Q9Y4W6.AFG32_HUMAN","AFG3L2","Q9Y4W6"
"230",230,"sp.O95273.CCDB1_HUMAN","CCNDBP1","O95273"
"231",231,"sp.Q5TZA2.CROCC_HUMAN","CROCC","Q5TZA2"
"232",232,"sp.Q9BV73.CP250_HUMAN","CEP250","Q9BV73"
"233",233,"sp.P15311.EZRI_HUMAN","EZR","P15311"
"234",234,"sp.Q69YQ0.CYTSA_HUMAN","SPECC1L","Q69YQ0"
"235",235,"sp.P35241.RADI_HUMAN","RDX","P35241"
"236",236,"sp.O43795.2.MYO1B_HUMAN","MYO1B","O43795-2"
"237",237,"sp.Q7Z406.6.MYH14_HUMAN","MYH14","Q7Z406-6"
"238",238,"sp.Q9Y4I1.3.MYO5A_HUMAN","MYO5A","Q9Y4I1-3"
"239",239,"sp.Q9Y4I1.MYO5A_HUMAN","MYO5A","Q9Y4I1"
"240",240,"sp.Q6PIF6.MYO7B_HUMAN","MYO7B","Q6PIF6"
"241",241,"sp.O94832.MYO1D_HUMAN","MYO1D","O94832"
"242",242,"sp.Q14980.NUMA1_HUMAN","NUMA1","Q14980"
"243",243,"sp.Q9ULV0.MYO5B_HUMAN","MYO5B","Q9ULV0"
"244",244,"sp.O00160.MYO1F_HUMAN","MYO1F","O00160"
"245",245,"sp.Q12965.MYO1E_HUMAN","MYO1E","Q12965"
"246",246,"sp.Q9NXH9.TRM1_HUMAN","TRMT1","Q9NXH9"
"247",247,"sp.B0I1T2.MYO1G_HUMAN","MYO1G","B0I1T2"
"248",248,"sp.Q9NQX4.MYO5C_HUMAN","MYO5C","Q9NQX4"
"249",249,"tr.H0YFY6.H0YFY6_HUMAN","NUMA1","H0YFY6"
"250",250,"sp.Q13439.5.GOGA4_HUMAN","GOLGA4","Q13439-5"
"251",251,"sp.Q13439.GOGA4_HUMAN","GOLGA4","Q13439"
"252",252,"sp.P35580.4.MYH10_HUMAN","MYH10","P35580-4"
"253",253,"sp.P35580.MYH10_HUMAN","MYH10","P35580"
"254",254,"sp.P35579.MYH9_HUMAN","MYH9","P35579"
"255",255,"sp.P11055.MYH3_HUMAN","MYH3","P11055"
"256",256,"sp.P12882.MYH1_HUMAN","MYH1","P12882"
"257",257,"sp.P13533.MYH6_HUMAN","MYH6","P13533"
"258",258,"sp.Q9Y623.MYH4_HUMAN","MYH4","Q9Y623"
"259",259,"sp.P13535.MYH8_HUMAN","MYH8","P13535"
"260",260,"sp.P12883.MYH7_HUMAN","MYH7","P12883"
"261",261,"sp.P35749.2.MYH11_HUMAN","MYH11","P35749-2"
"262",262,"sp.A7E2Y1.MYH7B_HUMAN","MYH7B","A7E2Y1"
"263",263,"sp.Q13402.MYO7A_HUMAN","MYO7A","Q13402"
"264",264,"sp.P26038.MOES_HUMAN","MSN","P26038"
"265",265,"sp.Q9H169.2.STMN4_HUMAN","STMN4","Q9H169-2"
"266",266,"sp.Q93045.2.STMN2_HUMAN","STMN2","Q93045-2"
"267",267,"sp.P16949.STMN1_HUMAN","STMN1","P16949"
"268",268,"sp.Q9NZ72.STMN3_HUMAN","STMN3","Q9NZ72"
"269",269,"sp.Q01804.OTUD4_HUMAN","OTUD4","Q01804"
"270",270,"sp.H7BZ55.CROL3_HUMAN",NA,"H7BZ55"
"271",271,"sp.Q9UBC5.MYO1A_HUMAN","MYO1A","Q9UBC5"
"272",272,"sp.O00159.MYO1C_HUMAN","MYO1C","O00159"
"273",273,"sp.Q16526.CRY1_HUMAN","CRY1","Q16526"
"274",274,"sp.P56282.DPOE2_HUMAN","POLE2","P56282"
"275",275,"sp.O95183.VAMP5_HUMAN","VAMP5","O95183"
"276",276,"sp.Q8WXR4.7.MYO3B_HUMAN","MYO3B","Q8WXR4-7"
"277",277,"sp.O00471.EXOC5_HUMAN","EXOC5","O00471"
"278",278,"sp.Q9UKN7.MYO15_HUMAN","MYO15A","Q9UKN7"
"279",279,"sp.Q9Y2K3.MYH15_HUMAN","MYH15","Q9Y2K3"
"280",280,"sp.Q13163.MP2K5_HUMAN","MAP2K5","Q13163"
"281",281,"sp.Q92692.PVRL2_HUMAN","PVRL2","Q92692"
"282",282,"sp.Q92692.2.PVRL2_HUMAN","PVRL2","Q92692-2"
"283",283,"sp.Q96GI7.FA89A_HUMAN","FAM89A","Q96GI7"
"284",284,"sp.P32322.P5CR1_HUMAN","PYCR1","P32322"
"285",285,"sp.Q96C36.P5CR2_HUMAN","PYCR2","Q96C36"
"286",286,"sp.O60885.BRD4_HUMAN","BRD4","O60885"
"287",287,"sp.P25440.2.BRD2_HUMAN","BRD2","P25440-2"
"288",288,"sp.Q15059.BRD3_HUMAN","BRD3","Q15059"
"289",289,"sp.Q58F21.5.BRDT_HUMAN","BRDT","Q58F21-5"
"290",290,"sp.Q8NAF0.ZN579_HUMAN","ZNF579","Q8NAF0"
"291",291,"sp.P56945.6.BCAR1_HUMAN","BCAR1","P56945-6"
"292",292,"sp.Q14511.3.CASL_HUMAN","NEDD9","Q14511-3"
"293",293,"sp.Q14203.DCTN1_HUMAN","DCTN1","Q14203"
"294",294,"sp.Q14203.4.DCTN1_HUMAN","DCTN1","Q14203-4"
"295",295,"sp.Q96KG9.NTKL_HUMAN","SCYL1","Q96KG9"
"296",296,"sp.P98172.EFNB1_HUMAN","EFNB1","P98172"
"297",297,"sp.Q15768.EFNB3_HUMAN","EFNB3","Q15768"
"298",298,"sp.Q96NY9.MUS81_HUMAN","MUS81","Q96NY9"
"299",299,"sp.O60716.4.CTND1_HUMAN","CTNND1","O60716-4"
"300",300,"sp.O60716.3.CTND1_HUMAN","CTNND1","O60716-3"
"301",301,"sp.Q9NV92.NFIP2_HUMAN","NDFIP2","Q9NV92"
"302",302,"sp.Q9BTC0.DIDO1_HUMAN","DIDO1","Q9BTC0"
"303",303,"sp.Q92576.2.PHF3_HUMAN","PHF3","Q92576-2"
"304",304,"sp.P41161.ETV5_HUMAN","ETV5","P41161"
"305",305,"sp.P50549.ETV1_HUMAN","ETV1","P50549"
"306",306,"sp.Q14498.2.RBM39_HUMAN","RBM39","Q14498-2"
"307",307,"sp.Q86U06.RBM23_HUMAN","RBM23","Q86U06"
"308",308,"sp.Q15042.RB3GP_HUMAN","RAB3GAP1","Q15042"
"309",309,"sp.Q17R98.ZN827_HUMAN","ZNF827","Q17R98"
"310",310,"sp.Q9NX63.CHCH3_HUMAN","CHCHD3","Q9NX63"
"311",311,"sp.A5YKK6.CNOT1_HUMAN","CNOT1","A5YKK6"
"312",312,"sp.Q86YT6.MIB1_HUMAN","MIB1","Q86YT6"
"313",313,"sp.Q969K3.2.RNF34_HUMAN","RNF34","Q969K3-2"
"314",314,"sp.Q969S8.HDA10_HUMAN","HDAC10","Q969S8"
"315",315,"sp.P29375.KDM5A_HUMAN","KDM5A","P29375"
"316",316,"sp.Q9UGL1.KDM5B_HUMAN","KDM5B","Q9UGL1"
"317",317,"sp.P41229.KDM5C_HUMAN","KDM5C","P41229"
"318",318,"sp.Q9BY66.3.KDM5D_HUMAN","KDM5D","Q9BY66-3"
"319",319,"sp.Q9H477.RBSK_HUMAN","RBKS","Q9H477"
"320",320,"sp.Q9H6E5.STPAP_HUMAN","TUT1","Q9H6E5"
"321",321,"sp.Q6UB99.ANR11_HUMAN","ANKRD11","Q6UB99"
"322",322,"sp.Q6UB98.ANR12_HUMAN","ANKRD12","Q6UB98"
"323",323,"sp.Q6ZQQ6.WDR87_HUMAN","WDR87","Q6ZQQ6"
"324",324,"sp.P26641.EF1G_HUMAN","EEF1G","P26641"
"325",325,"sp.Q9C086.IN80B_HUMAN","INO80B","Q9C086"
"326",326,"sp.P20810.6.ICAL_HUMAN","CAST","P20810-6"
"327",327,"tr.E9PCH5.E9PCH5_HUMAN","CAST","E9PCH5"
"328",328,"sp.Q13608.PEX6_HUMAN","PEX6","Q13608"
"329",329,"sp.Q96D96.HVCN1_HUMAN","HVCN1","Q96D96"
"330",330,"sp.Q6NSJ0.K1161_HUMAN","KIAA1161","Q6NSJ0"
"331",331,"sp.Q14956.2.GPNMB_HUMAN","GPNMB","Q14956-2"
"332",332,"sp.P13804.ETFA_HUMAN","ETFA","P13804"
"333",333,"sp.Q14642.I5P1_HUMAN","INPP5A","Q14642"
"334",334,"sp.Q8N5W9.F101B_HUMAN","FAM101B","Q8N5W9"
"335",335,"sp.P31350.2.RIR2_HUMAN","RRM2","P31350-2"
"336",336,"sp.Q7LG56.6.RIR2B_HUMAN","RRM2B","Q7LG56-6"
"337",337,"sp.Q8NDA8.MROH1_HUMAN","MROH1","Q8NDA8"
"338",338,"sp.P49848.3.TAF6_HUMAN","TAF6","P49848-3"
"339",339,"sp.Q8TF74.WIPF2_HUMAN","WIPF2","Q8TF74"
"340",340,"sp.Q96L73.NSD1_HUMAN","NSD1","Q96L73"
"341",341,"sp.Q9BZ95.NSD3_HUMAN","WHSC1L1","Q9BZ95"
"342",342,"sp.O96028.NSD2_HUMAN","WHSC1","O96028"
"343",343,"sp.Q96RK0.CIC_HUMAN","CIC","Q96RK0"
"344",344,"tr.I3L2J0.I3L2J0_HUMAN","CIC","I3L2J0"
"345",345,"sp.P53618.COPB_HUMAN","COPB1","P53618"
"346",346,"sp.Q96N21.AP4AT_HUMAN","ENTHD2","Q96N21"
"347",347,"sp.Q92506.DHB8_HUMAN","HSD17B8","Q92506"
"348",348,"sp.Q8TCY9.URGCP_HUMAN","URGCP","Q8TCY9"
"349",349,"sp.O14981.BTAF1_HUMAN","BTAF1","O14981"
"350",350,"sp.Q99569.PKP4_HUMAN","PKP4","Q99569"
