"","X1","Protein_Id","Gene_Symbol","Uniprot_Acc"
"6151",6151,"sp.Q9NVF7.FBX28_HUMAN","FBXO28","Q9NVF7"
"6152",6152,"sp.Q8N3R9.MPP5_HUMAN","MPP5","Q8N3R9"
"6153",6153,"sp.Q9UNE7.CHIP_HUMAN","STUB1","Q9UNE7"
"6154",6154,"sp.Q9BXS5.AP1M1_HUMAN","AP1M1","Q9BXS5"
"6155",6155,"sp.Q9Y6Q5.2.AP1M2_HUMAN","AP1M2","Q9Y6Q5-2"
"6156",6156,"sp.O75312.ZPR1_HUMAN","ZNF259","O75312"
"6157",6157,"sp.Q8IUF8.MINA_HUMAN","MINA","Q8IUF8"
"6158",6158,"sp.Q96CP6.GRM1A_HUMAN","GRAMD1A","Q96CP6"
"6159",6159,"sp.Q3KR37.GRM1B_HUMAN","GRAMD1B","Q3KR37"
"6160",6160,"sp.Q15397.K0020_HUMAN","KIAA0020","Q15397"
"6161",6161,"sp.Q8IYS0.GRM1C_HUMAN","GRAMD1C","Q8IYS0"
"6162",6162,"sp.Q9UHF1.EGFL7_HUMAN","EGFL7","Q9UHF1"
"6163",6163,"sp.Q9H7F0.AT133_HUMAN","ATP13A3","Q9H7F0"
"6164",6164,"tr.H7C1U7.H7C1U7_HUMAN","ATP13A3","H7C1U7"
"6165",6165,"sp.Q8NFY4.SEM6D_HUMAN","SEMA6D","Q8NFY4"
"6166",6166,"sp.P18846.ATF1_HUMAN","ATF1","P18846"
"6167",6167,"sp.P16220.CREB1_HUMAN","CREB1","P16220"
"6168",6168,"sp.Q9BSH5.HDHD3_HUMAN","HDHD3","Q9BSH5"
"6169",6169,"sp.P35680.HNF1B_HUMAN","HNF1B","P35680"
"6170",6170,"sp.P20823.HNF1A_HUMAN","HNF1A","P20823"
"6171",6171,"sp.Q6NT76.5.HMBX1_HUMAN","HMBOX1","Q6NT76-5"
"6172",6172,"sp.P19823.ITIH2_HUMAN","ITIH2","P19823"
"6173",6173,"sp.P18077.RL35A_HUMAN","RPL35A","P18077"
"6174",6174,"sp.Q9HAD4.WDR41_HUMAN","WDR41","Q9HAD4"
"6175",6175,"sp.Q6NW40.RGMB_HUMAN","RGMB","Q6NW40"
"6176",6176,"sp.O76061.STC2_HUMAN","STC2","O76061"
"6177",6177,"sp.P61244.MAX_HUMAN","MAX","P61244"
"6178",6178,"sp.Q99447.3.PCY2_HUMAN","PCYT2","Q99447-3"
"6179",6179,"sp.Q9UBK9.UXT_HUMAN","UXT","Q9UBK9"
"6180",6180,"sp.Q712K3.UB2R2_HUMAN","UBE2R2","Q712K3"
"6181",6181,"sp.P49427.UB2R1_HUMAN","CDC34","P49427"
"6182",6182,"sp.P30520.PURA2_HUMAN","ADSS","P30520"
"6183",6183,"sp.Q8N142.PURA1_HUMAN","ADSSL1","Q8N142"
"6184",6184,"sp.Q6IQ16.SPOPL_HUMAN","SPOPL","Q6IQ16"
"6185",6185,"sp.O43791.SPOP_HUMAN","SPOP","O43791"
"6186",6186,"sp.Q96JC1.VPS39_HUMAN","VPS39","Q96JC1"
"6187",6187,"tr.E5RHU8.E5RHU8_HUMAN","LEPROTL1","E5RHU8"
"6188",6188,"sp.Q9HCK1.ZDBF2_HUMAN","ZDBF2","Q9HCK1"
"6189",6189,"sp.Q9UKX5.2.ITA11_HUMAN","ITGA11","Q9UKX5-2"
"6190",6190,"sp.Q9BYG4.PAR6G_HUMAN","PARD6G","Q9BYG4"
"6191",6191,"sp.Q9NPB6.PAR6A_HUMAN","PARD6A","Q9NPB6"
"6192",6192,"sp.Q9BYG5.PAR6B_HUMAN","PARD6B","Q9BYG5"
"6193",6193,"sp.P06340.DOA_HUMAN","HLA-DOA","P06340"
"6194",6194,"sp.Q9UKI2.BORG2_HUMAN","CDC42EP3","Q9UKI2"
"6195",6195,"sp.Q9Y6X4.F169A_HUMAN","FAM169A","Q9Y6X4"
"6196",6196,"sp.P62266.RS23_HUMAN","RPS23","P62266"
"6197",6197,"sp.Q96AJ9.VTI1A_HUMAN","VTI1A","Q96AJ9"
"6198",6198,"sp.Q6UVK1.CSPG4_HUMAN","CSPG4","Q6UVK1"
"6199",6199,"sp.A8MQ03.CI169_HUMAN","C9orf169","A8MQ03"
"6200",6200,"sp.Q96JK9.MAML3_HUMAN","MAML3","Q96JK9"
"6201",6201,"sp.P98175.RBM10_HUMAN","RBM10","P98175"
"6202",6202,"sp.P78332.RBM6_HUMAN","RBM6","P78332"
"6203",6203,"sp.P52756.RBM5_HUMAN","RBM5","P52756"
"6204",6204,"sp.P62253.UB2G1_HUMAN","UBE2G1","P62253"
"6205",6205,"sp.O60336.MABP1_HUMAN","MAPKBP1","O60336"
"6206",6206,"tr.G3V145.G3V145_HUMAN","SDR16C5","G3V145"
"6207",6207,"sp.Q8N9B5.JMY_HUMAN","JMY","Q8N9B5"
"6208",6208,"sp.Q99848.EBP2_HUMAN","EBNA1BP2","Q99848"
"6209",6209,"sp.Q9Y3E7.CHMP3_HUMAN","CHMP3","Q9Y3E7"
"6210",6210,"sp.Q9H5J0.ZBTB3_HUMAN","ZBTB3","Q9H5J0"
"6211",6211,"sp.O14638.ENPP3_HUMAN","ENPP3","O14638"
"6212",6212,"sp.Q969T7.5NT3B_HUMAN","NT5C3B","Q969T7"
"6213",6213,"sp.Q4G0I0.CSMT1_HUMAN","CCSMST1","Q4G0I0"
"6214",6214,"sp.Q8TB05.UBAD1_HUMAN","UBALD1","Q8TB05"
"6215",6215,"sp.Q14746.COG2_HUMAN","COG2","Q14746"
"6216",6216,"sp.Q9H078.2.CLPB_HUMAN","CLPB","Q9H078-2"
"6217",6217,"sp.P50224.3.ST1A3_HUMAN","SULT1A3","P50224-3"
"6218",6218,"sp.P50225.ST1A1_HUMAN","SULT1A1","P50225"
"6219",6219,"sp.Q13077.TRAF1_HUMAN","TRAF1","Q13077"
"6220",6220,"sp.Q66K64.DCA15_HUMAN","DCAF15","Q66K64"
"6221",6221,"sp.P62308.RUXG_HUMAN","SNRPG","P62308"
"6222",6222,"sp.Q9Y303.3.NAGA_HUMAN","AMDHD2","Q9Y303-3"
"6223",6223,"sp.Q96CS3.FAF2_HUMAN","FAF2","Q96CS3"
"6224",6224,"sp.Q92759.TF2H4_HUMAN","GTF2H4","Q92759"
"6225",6225,"sp.P21854.CD72_HUMAN","CD72","P21854"
"6226",6226,"sp.Q9UHR6.ZNHI2_HUMAN","ZNHIT2","Q9UHR6"
"6227",6227,"sp.Q99608.NECD_HUMAN","NDN","Q99608"
"6228",6228,"sp.Q9BQ61.CS043_HUMAN","C19orf43","Q9BQ61"
"6229",6229,"sp.P43155.CACP_HUMAN","CRAT","P43155"
"6230",6230,"sp.Q9UH92.MLX_HUMAN","MLX","Q9UH92"
"6231",6231,"sp.Q8IZD4.DCP1B_HUMAN","DCP1B","Q8IZD4"
"6232",6232,"sp.Q9Y3B6.EMC9_HUMAN","EMC9","Q9Y3B6"
"6233",6233,"sp.O00161.SNP23_HUMAN","SNAP23","O00161"
"6234",6234,"sp.O00743.PPP6_HUMAN","PPP6C","O00743"
"6235",6235,"sp.P60510.PP4C_HUMAN","PPP4C","P60510"
"6236",6236,"sp.P67775.PP2AA_HUMAN","PPP2CA","P67775"
"6237",6237,"sp.P62714.PP2AB_HUMAN","PPP2CB","P62714"
"6238",6238,"sp.P63208.SKP1_HUMAN","SKP1","P63208"
"6239",6239,"sp.Q9HCJ3.2.RAVR2_HUMAN","RAVER2","Q9HCJ3-2"
"6240",6240,"sp.O14880.MGST3_HUMAN","MGST3","O14880"
"6241",6241,"sp.P36873.2.PP1G_HUMAN","PPP1CC","P36873-2"
"6242",6242,"sp.P62136.PP1A_HUMAN","PPP1CA","P62136"
"6243",6243,"sp.P62140.PP1B_HUMAN","PPP1CB","P62140"
"6244",6244,"tr.B4E0T2.B4E0T2_HUMAN","PEX5","B4E0T2"
"6245",6245,"tr.J3KPV0.J3KPV0_HUMAN","PEX5","J3KPV0"
"6246",6246,"sp.P07225.PROS_HUMAN","PROS1","P07225"
"6247",6247,"sp.Q9HAT2.SIAE_HUMAN","SIAE","Q9HAT2"
"6248",6248,"sp.Q02543.RL18A_HUMAN","RPL18A","Q02543"
"6249",6249,"sp.Q9UER7.DAXX_HUMAN","DAXX","Q9UER7"
"6250",6250,"sp.Q8IZ21.2.PHAR4_HUMAN","PHACTR4","Q8IZ21-2"
"6251",6251,"sp.Q96I51.WBS16_HUMAN","WBSCR16","Q96I51"
"6252",6252,"sp.Q69YN4.VIR_HUMAN","KIAA1429","Q69YN4"
